case,load_scale,p_demand_mw,q_demand_mvar,status,objective_eur_h,q_slack_mvar,p_slack_mw,losses_mw,v_min,v_max,max_line_loading_pct,p_g1_mw,q_g1_mvar,lambda_q_g1,g1_field_binding,g1_stator_binding,loc_g1_eur_h,p_g2_mw,q_g2_mvar,lambda_q_g2,g2_field_binding,g2_stator_binding,loc_g2_eur_h,p_g3_mw,q_g3_mvar,lambda_q_g3,g3_field_binding,g3_stator_binding,loc_g3_eur_h,p_g4_mw,q_g4_mvar,lambda_q_g4,g4_field_binding,g4_stator_binding,loc_g4_eur_h
free,0.7102564102564104,31.778398846153856,7.841227273673621,optimal,2243.4657116250246,2.4692798688658653,27.406368303956203,0.1484141835757562,1.0219994265981884,1.0500000104551952,53.97678659345048,2.017531069886949,2.6325897516551757,3.944402983103626e-10,False,False,0.0,1.1529136675623584,0.35885322206979386,-1.748431083617617e-09,False,False,0.0,0.8999999944862475,3.8102485984371643,8.125342992916886e-09,False,False,0.0,0.4499999938378532,0.08470462237545874,-6.217303953917074e-09,False,False,0.0
free,0.7384615384615385,33.04035692307692,8.152611750245496,optimal,2333.2962202933386,2.7442123923579063,28.521267816878325,0.15608784422537525,1.0213236337822538,1.050000010453673,55.373868694544996,2.126465009561333,2.688237043345084,4.4762744572816154e-10,False,False,0.0,1.1987119507247876,0.37555738619801876,-1.6415295888581417e-09,False,False,0.0,0.8999999954411194,3.895738705547537,1.110672091155643e-08,False,False,0.0,0.44999999469673013,0.11317923504428845,-5.649506035653663e-09,False,False,0.0
free,0.7666666666666667,34.302315,8.463996226817374,optimal,2423.1660116908574,3.0240904658643983,29.63627267390051,0.16407694510512272,1.0206419788215348,1.0500000104520302,56.790602692874124,2.235616072216215,2.7442408132295437,5.019719471557058e-10,False,False,0.0,1.24450320598856,0.39225160514578333,-1.5419816626615072e-09,False,False,0.0,0.8999999969325265,3.9822251942177056,1.7626006315677523e-08,False,False,0.0,0.4499999960673156,0.14165880887712567,-5.155496213822514e-09,False,False,0.0
free,0.7948717948717949,35.56427307692307,8.775380703389251,optimal,2513.07550723393,3.308931951663046,30.751386099580593,0.17238661888197981,1.019954425930684,1.0500000104502554,58.22673628675239,2.3449568469054074,2.8005607599310682,5.577711496218216e-10,False,False,0.0,1.2903167511287532,0.40897769854346094,-1.4487994727045348e-09,False,False,0.0,0.8999999995893277,4.06971438790793,4.394011445329777e-08,False,False,0.0,0.4499999986009728,0.17014331691767154,-4.720742658452385e-09,False,False,0.0
free,0.823076923076923,36.82623115384615,9.086765179961125,optimal,2603.0267211030173,3.6057698935684264,31.866285456985047,0.18069617154689865,1.0192609386291918,1.050000010448326,59.58570838501027,2.4545329504809428,2.8572608182808885,6.154290475952183e-10,False,False,0.0,1.3361089054199402,0.4256733602567526,-1.361451027868916e-09,False,False,0.0,0.9000000095864311,4.127413723790209,0.05625098214742369,True,False,293.99999932894974,0.4500000029206864,0.22219579455062982,-4.0450258608392225e-09,False,False,0.0
free,0.8512820512820514,38.08818923076923,9.398149656533002,optimal,2693.0218847831748,3.920906177639566,32.98068743146868,0.1887243442623543,1.018561479727634,1.0500000104462264,60.78055735166864,2.564314578908691,2.914297261846548,6.752996777554342e-10,False,False,0.0,1.3819114385355529,0.44238390584450527,-1.279164116580723e-09,False,False,0.0,0.9000000837941734,4.127731613891821,0.07382464780978325,True,False,293.9999941344078,0.4500000423244781,0.31896090366971924,-3.071249153726196e-09,False,False,0.0
free,0.8794871794871796,39.35014730769231,9.709534133104881,optimal,2783.0564101298014,4.2696577617878875,34.0388267461423,0.19564450102910058,1.0178560113135147,1.0500000104439315,61.62388663378214,2.674311273571643,2.9716825196981493,7.378245153102997e-10,False,False,0.0,1.4277168053760703,0.459098572878235,-1.2014253723066644e-09,False,False,0.0,0.9378796385187528,4.124594487524239,0.0862727204207935,True,False,291.34842530368724,0.46705734511264246,0.38240509998299005,-2.5042560475246283e-09,False,False,0.0
free,0.9076923076923077,40.61210538461538,10.020918609676757,optimal,2873.1242023839786,4.641921309698662,35.08306263178781,0.2018716029962775,1.017144494737139,1.0500000104433231,62.23141992918683,2.784528108346498,3.0294226369481434,8.03497238751456e-10,False,False,0.0,1.4735219596313085,0.47581301667784714,-1.127768119539428e-09,False,False,0.0,0.9641028740982822,4.1225996232822295,0.0945134122604242,True,False,289.51279881312024,0.5087614137477494,0.42412808633950955,-2.091465391232556e-09,False,False,0.0
free,0.935897435897436,41.87406346153846,10.332303086248633,optimal,2963.2236292687685,5.052351704329317,36.1504754964572,0.20665413897988572,1.0164268905944092,1.0500000104386369,62.3835879891954,2.894965097463284,3.0875164306743574,8.728743870310004e-10,False,False,0.0,1.5193289464683812,0.49253015399804195,-1.0577645277747673e-09,False,False,0.0,0.9910129107233204,4.121202074233405,0.09664859901424157,True,False,287.62909624936754,0.5249351494061639,0.43555932124812285,-1.9758526459037457e-09,False,False,0.0
free,0.9641025641025641,43.13602153846154,10.64368756282051,optimal,3053.353966214446,5.468512893221723,37.21778798367573,0.21159348729857896,1.0157031587157255,1.0500000104355613,62.53932121887752,3.0056258898527206,3.145967898062866,9.466051916982138e-10,False,False,0.0,1.565136209480515,0.5092477653131442,-9.910491747126411e-10,False,False,0.0,1.017920280951386,4.119737079840488,0.09884921851022772,True,False,285.745580333403,0.5411446617997683,0.4471113907449442,-1.8644898580229534e-09,False,False,0.0
